PlayerId,Player,RosterPosition,RunDefSnaps,RunDefPoints,PassRushSnaps,PassRushPoints,PassCovSnaps,PassCovPoints,RunDefPPS,PassRushPPS,PassCovPPS,RunDefTRUE,PassRushTRUE,PassCovTRUE
1073,Tashaun Gipson,S,339,12,14,0,631,11,0.035398230088495575,0,0.017432646592709985,0.03382670879760519,0,0.01718954313111701
4810,Jordan Willis,DE,66,3,126,7,0,NA,0.045454545454545456,0.05555555555555555,NA,0.02101464657185311,0.041996000380916096,NA
6257,Siran Neal,CB,11,1,4,0,43,8,0.09090909090909091,0,0.18604651162790697,0.0021434138737334374,0,0.049912942542077766
9146,Devin Lloyd,LB,336,9,77,3,464,22,0.026785714285714284,0.03896103896103896,0.047413793103448273,0.02557683199133906,0.020988551699073234,0.046240260916832754
9183,Damarion Williams,CB,44,1,9,0,158,-2,0.022727272727272728,0,-0.012658227848101266,0.006303724928366763,0,-0.010490671270167983
4042,Justin Simmons,S,283,15,7,0,463,38,0.053003533568904596,0,0.08207343412526998,0.04972356276062409,0,0.08003384402634739
4578,Jaleel Johnson,DT,51,-1,30,2,0,NA,-0.0196078431372549,0.06666666666666667,NA,-0.00666492420282279,0.01011804384485666,NA
3564,Kamu Grugier-Hill,LB,147,2,23,1,170,1,0.013605442176870748,0.043478260869565216,0.0058823529411764705,0.010988189564957392,0.004142651296829971,0.004989727032579982
9141,Arron Mosby,LB,0,NA,0,NA,2,0,NA,NA,0,NA,NA,0
7952,David Moa,DT,24,1,13,0,0,NA,0.041666666666666664,0,NA,0.004285714285714285,0,NA
