ID,OffensiveYardarge,Down,ToGo,TotalToGo,Formation,EPA,ScramblerStrength,BlockerStrength,DefenderStrength
21875,42,3,2,45,3-4,3.205426,0.046262635908784364,0.05799156209254766,0.024428191822501347
21886,2,1,10,24,3-4,-0.247915,0.046262635908784364,0.05799156209254766,0.023868477619690208
21930,9,2,4,68,3-4,0.520557,0.046262635908784364,0.05799156209254766,0.020724069913669697
21948,10,2,9,67,3-4,0.957401,0.046262635908784364,0.05799156209254766,0.024151487731572198
21971,8,1,20,45,4-3,-0.319815,0.023141448544722432,0.04219553610623163,0.012177177034013479
21978,9,3,5,33,4-3,1.288623,0.023141448544722432,0.04219553610623163,0.020005355042590028
22018,5,2,4,27,4-3,0.462647,0.023141448544722432,0.04219553610623163,0.015260942168442456
22025,6,2,4,53,0-0,0.454891,0.011854745019880705,0.03659961964607415,0.03355342145972668
22085,14,2,17,40,0-0,1.044444,0.011854745019880705,0.03659961964607415,0.04295659064405559
22156,7,2,18,49,0-0,-0.457927,0.04024106073619201,0.03986718748264072,0.028854698191850662
22196,5,3,6,28,3-4,-0.127268,0.02520849962944511,0.029556172413161892,0.03689957105942675
22255,5,1,10,44,0-0,0.003176,0.023141448544722432,0.04219553610623163,0.016518942403012594
22334,9,1,10,68,3-4,0.983178,0.020395248825219717,0.05300431051629475,0.01885326233161072
22397,14,2,10,78,3-4,1.569331,0.020395248825219717,0.05300431051629475,0.018514756212210104
22428,3,1,10,26,3-4,-0.151058,0.020395248825219717,0.05300431051629475,0.016373911203682666
22435,17,1,10,66,0-0,0.982937,0.015147672864145013,0.03651305666637595,0.030783376248549068
22436,4,1,10,49,0-0,-0.086312,0.015147672864145013,0.03651305666637595,0.03749737413346404
22444,1,1,10,29,3-4,-0.355629,0.007066130927046504,0.042331760004245836,0.02433921658872944
22446,6,3,9,28,3-4,-0.316757,0.007066130927046504,0.042331760004245836,0.02433921658872944
22506,1,2,11,58,3-4,-0.877191,0.007066130927046504,0.042331760004245836,0.019613423575192357
22578,2,1,10,51,3-4,-0.318321,0.04829315624473296,0.045690494697898404,0.0014266810023984783
22634,8,2,9,64,3-4,0.666136,0.04829315624473296,0.045690494697898404,0.002108483545559782
22636,12,4,1,56,3-4,2.506386,0.04829315624473296,0.045690494697898404,0.002108483545559782
22770,11,2,17,36,4-3,0.746005,0.030967027012518366,0.03549909671984428,0.028803898634216892
22831,8,2,13,27,4-3,0.003957,0.035524105404837164,0.036317746271247967,0.01792230802144104
22842,11,3,9,73,4-3,1.995583,0.035524105404837164,0.036317746271247967,0.01602258591006968
22940,9,2,7,72,4-3,0.998237,0.034504702145227065,0.03653071949347159,0.0249882323039278
22975,10,3,7,23,0-0,1.444555,0.034504702145227065,0.03653071949347159,0.028848127351373872
23021,1,3,2,77,4-3,-1.264549,0.034504702145227065,0.03653071949347159,0.020434460302051455
23022,7,1,10,74,3-4,0.502057,0.005826642007296648,0.031765010644784576,0.005762861494490239
23061,8,2,13,65,4-3,0.30776,0.034504702145227065,0.03653071949347159,0.02007213053060291
23097,17,1,10,60,3-4,0.986165,0.02730564513909665,0.03466522418023544,0.019821608650320503
23101,8,4,7,40,3-4,2.765877,0.02730564513909665,0.03466522418023544,0.015683163408962912
23209,4,1,10,39,3-4,-0.166431,0.03386908499876763,0.03974394314988115,0.01692171558834778
23240,6,2,9,63,3-4,0.132567,0.01625963808332278,0.0361047542210841,0.025593435586417385
23251,3,1,10,30,3-4,-0.161516,0.01625963808332278,0.0361047542210841,0.025873984263844678
23262,4,2,10,71,3-4,-0.329672,0.01625963808332278,0.0361047542210841,0.03356880938145564
23272,2,3,6,71,0-0,-1.102979,0.01625963808332278,0.0361047542210841,0.027094471171157566
23281,5,2,5,50,3-4,0.510228,0.01625963808332278,0.0361047542210841,0.015974904189403682
23302,14,4,2,49,3-4,2.898409,0.01625963808332278,0.0361047542210841,0.0239866321306969
23464,8,1,10,74,3-4,0.846838,0.03796216075595333,0.03446802007773319,0.02571737374261792
23477,8,3,12,67,4-3,-0.533875,0.03796216075595333,0.03446802007773319,0.02105455222717804
23483,6,2,10,43,3-4,-0.020704,0.0656582180798903,0.040371172852227945,0.0326533973132883
23539,5,1,18,27,3-4,0.283344,0.03796216075595333,0.03446802007773319,0.02571737374261792
23554,2,2,7,34,4-3,-0.288992,0.03796216075595333,0.03446802007773319,0.03129712554796857
23864,1,1,10,31,3-4,-0.371471,0.03732296859373035,0.03967516837635983,0.022301974125561952
23977,6,1,10,45,3-4,0.164083,0.01625963808332278,0.0361047542210841,0.02607999622444634
24015,4,3,5,53,3-4,-0.353801,0.02954692254945959,0.037711463390559655,0.014166886989668214
24028,1,1,10,49,3-4,-0.427004,0.02954692254945959,0.037711463390559655,0.01692171558834778
24097,16,3,15,75,4-3,2.629095,0.04024106073619201,0.03986718748264072,0.011853977342424823
24117,5,3,6,66,4-3,-0.946786,0.04024106073619201,0.03986718748264072,0.017884111985918882
24120,11,1,10,40,4-3,0.78352,0.04024106073619201,0.03986718748264072,0.009700166880460014
24226,8,3,3,23,0-0,1.314771,0.03796216075595333,0.03446802007773319,0.04067440889568752
24232,9,3,8,56,0-0,1.727,0.030967027012518366,0.03549909671984428,0.03134995244049478
24268,6,3,4,65,4-3,1.281597,0.030967027012518366,0.03549909671984428,0.026995082840170024
24405,3,3,4,69,3-4,-1.030715,0.03191924748466482,0.034528580581803595,0.025703207508101025
24411,2,1,10,75,3-4,-0.359615,0.0047349631703156175,0.02971657026358872,0.035201524584879455
24433,9,1,10,77,4-3,1.089892,0.03191924748466482,0.034528580581803595,0.018811108293535207
24518,1,2,7,73,3-4,-0.64462,0.04642580956145555,0.03904400711263111,0.04167740949730993
24604,8,3,6,67,0-0,1.517716,0.046262635908784364,0.05799156209254766,0.010419554386182105
24611,2,1,10,75,3-4,-0.376269,0.034504702145227065,0.03653071949347159,0.020178776013592397
24672,6,4,5,70,3-4,2.825433,0.034504702145227065,0.03653071949347159,0.016495532680184298
24694,8,3,1,66,3-4,0.99165,0.034504702145227065,0.03653071949347159,0.01529264853171164
24699,32,4,15,51,3-4,4.782355,0.034504702145227065,0.03653071949347159,0.021372856330482262
24704,3,1,10,77,4-3,-0.272463,0.023141448544722432,0.04219553610623163,0.02864672737364567
24705,13,2,7,74,3-4,1.267156,0.023141448544722432,0.04219553610623163,0.0270606715630021
24711,1,3,2,67,4-3,-1.188964,0.020395248825219717,0.05300431051629475,0.03904695366438439
24732,11,2,16,49,0-0,0.302292,0.020395248825219717,0.05300431051629475,0.04243505188421262
24733,4,3,5,38,0-0,-0.395186,0.020395248825219717,0.05300431051629475,0.04295659064405559
24747,9,1,10,32,0-0,0.447318,0.020395248825219717,0.05300431051629475,0.04122087244224445
